publication_number,title,abstract,claims,ipc_classification,publication_date,assignee,legal_status
WO2025196014A1,Compostable top lid structure for a beverage preparation capsule,"The invention relates to a capsule (100) for preparing a beverage in a beverage production machine, the capsule (100) comprising a capsule body (200) delimiting a chamber (250) for containing a beverage substance (500), an injection wall (220) closing the chamber at a first end and a delivery wall (300) closing the chamber (250) at a second end of the capsule body (200). The delivery wall (300) comprises in a layered manner a carrier layer (320) for carrying the subsequent layers, an optional filter layer (310) and a barrier layer (340) applied on the carrier layer (320), the barrier layer (310) providing a preferably bidirectional barrier against moisture and/or gas, the barrier layer (340), at least one protective layer (350) applied on the side of the barrier layer facing the chamber (250) for protecting the barrier layer at least against moisture, and a connecting layer (330), on the side of the delivery wall (300) facing the chamber (300) for connection of the delivery wall (300) to the rim portion (211). The connecting layer (330) is made of biodegradable material and comprise at least a non-woven aliphatic or aliphatic aromatic polyester selected in the list comprising Polylactic acid (PLA), Polyhydroxy alkanoate (PHA), Polybutylene succinate (PBS), Polybutylene succinate-co-adipate (PBSA), Polybutylene adipate-co-terephthalate (PBAT), Polybutylene sebacate-co-terephthalate (PBSeT), and their respective copolymers, and combination thereof. The invention also relates to a system comprising the proposed capsule and to a use of the proposed capsule for preparing a beverage in a beverage production machine.","Claims
<div class=""indep-clm"" num=""1""><seg-main>1. A capsule (100) for preparing a beverage in a beverage production machine, wherein </seg-main><seg-clauses><seg-main>the capsule (100) comprises:</seg-main>
<seg-clauses>- a capsule body (200) comprising a sidewall (210) delimiting a chamber (250) for containing a substance (500) forthe preparation of the beverage, and a rim portion (211) delimiting an opening (230) in the sidewall (210);</seg-clauses>
<seg-clauses>- an injection wall (220), closing the chamber at a first end, for injecting a fluid in the chamber (250) for preparing the beverage upon interaction of the fluid with the substance (500); and</seg-clauses>
<seg-clauses>- a delivery wall (300) being connected to the capsule body (200), preferably to the rim portion (211), to close the chamber (250) at a second end of the capsule body (200), the delivery wall (300) comprising in a layered manner and in this order: o a filter layer (310), facing away from the chamber (250) made of biodegradable material for filtering out particles from the prepared beverage dispensed via the delivery wall (300), o a carrier layer (320) made of biodegradable material, the carrier layer (320) being adapted to be opened under the effect of rising pressure of the fluid being injected into the capsule (100), and o a barrier layer (340) made of biodegradable material for providing a preferably bidirectional barrier against moisture and/or gas, the barrier layer (340) being preferably made of a different material than the filter layer (310) and/or the carrier layer (320); the barrier layer (340) being applied on the surface of the carrier layer (320) facing the chamber (250). wherein the delivery wall (300) further comprises: o at least one protective layer (350) applied on the side of the barrier layer facing the chamber (250) for protecting the barrier layer at least against moisture, and o a connecting layer (330) applied as an external layer on the side of the delivery wall (3",B65D85/804,20250925,SOCIETE DES PRODUITS NESTLE S.A.,['PCT designated period']
AU2023366292A1,Processes for cell expansion,"A process for the expansion of mammalian cells, the process comprising dynamically stirring cells in a bioreactor to produce an expanded cell culture, as well as products produced via said processes.","<div class=""indep-clm"" num=""1""><seg-main>1. A process for expanding mammalian cells in a stirred tank bioreactor, the bioreactor comprising </seg-main><seg-clauses>mammalian cells and a cell culture medium, the process comprising dynamically stirring the cells in the bioreactor to produce an expanded cell culture.</seg-clauses></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-main>2. The process of claim 1, wherein </seg-main><seg-clauses>the dynamic stirring comprises stirring the cells at a stirring speed that is altered during production of the expanded cell culture.</seg-clauses></div>
<div class=""dep-clm"" num=""3"" parent=""2""><seg-main>3. The process of claim 2, wherein </seg-main><seg-clauses>the stirring speed is increased from a first stirring speed to a second stirring speed.</seg-clauses></div>
<div class=""dep-clm"" num=""4"" parent=""2,3""><seg-main>4. The process of claim 2 or 3, wherein </seg-main><seg-clauses>the stirring speeds are in the range of 150 to 800 RPM.</seg-clauses></div>
<div class=""dep-clm"" num=""5"" parent=""3,4""><seg-main>5. The process of claim 3 or 4, wherein </seg-main><seg-clauses>the first stirring speed is increased to a second stirring speed at a rate of 6.25 to 20 RPM per hour.</seg-clauses></div>
<div class=""dep-clm"" num=""6"" parent=""4,5""><seg-main>6. The process of claims 4 or 5, wherein </seg-main><seg-clauses>the first stirring speed is 150 RPM to 300 RPM and the second stirring speed is 400 RPM to 500 RPM.</seg-clauses></div>
<div class=""dep-clm"" num=""7"" parent=""5""><seg-main>7. The process of claim 5, wherein </seg-main><seg-clauses>the first stirring speed is 250 RPM, and optionally the second stirring speed is 400 RPM.</seg-clauses></div>
<div class=""dep-clm"" num=""8"" parent=""2,3""><seg-main>8. The process of claim 2 or 3, wherein </seg-main><seg-clauses>the stirring powers are in the range of 3 to 600 W/m3.</seg-clauses></div>
<div class=""dep-clm"" num=""9"" parent=""3,8""><seg-main>9. The process of claims 3 or 8, wherein </seg-main><s","C12N5/074, C12M3/00",20250410,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
CA3034187C,Omega 3 fatty acids and choline as neuroprotectant in patients with no dementia,,,"A61K31/14, A61K31/202, A61P25/28",20250909,SOCIETE DES PRODUITS NESTLE S.A.,['Active']
RU2851195C1,Compositions containing breast milk oligosaccharides for use in subjects to support language skill development,"FIELD: nutritional composition designed to improve language development in a subject.SUBSTANCE: nutritional composition containing at least one breast milk oligosaccharide (BMO) containing 3'-sialyllactose (3-SL), 6'-sialyllactose (6-SL), 3-fucosyllactose and any combination thereof, a source of fat, a source of carbohydrates and/or a source of protein, used to improve language development in an infant or young child. The method for improving language development in a subject comprises obtaining breast milk, which is fed to an infant or young child, from mothers secreting A-tetrasaccharide in their milk, and administering to said infant or young child a nutritional composition of the above composition as a supplement to said breast milk.EFFECT: improvement of language skills in infants or young children.12 cl, 5 dwg","1. Применение питательной композиции, содержащей по меньшей мере один олигосахарид грудного молока (ОГМ), содержащий 3'-сиалиллактозу (3-SL), 6'-сиалиллактозу (6-SL), 3-фукозиллактозу и любую их комбинацию, источник жира, источник углеводов и/или источник белка, для улучшения развития языковых навыков у субъекта.
2. Применение по п. 1, причем развитие языковых навыков включает в себя языковые навыки восприятия информации и/или языковые навыки передачи информации на основе оценки по подшкале Маллена.
3. Применение по п. 1, причем олигосахарид грудного молока содержит 3'-сиалиллактозу (3-SL).
4. Применение по п. 1, причем олигосахарид грудного молока содержит комбинацию 3'-сиалиллактозы (3-SL), 6'-сиалиллактозы (6-SL).
5. Применение по п. 1, причем олигосахарид грудного молока содержит 3-фукозиллактозу (3-FL), а развитие языковых навыков представляет собой языковые навыки передачи информации.
6. Применение по любому из пп. 1-5, причем субъект рожден от матери с положительным результатом анализа на А-тетрасахарид и/или субъекта вскармливают материнским молоком, содержащим A-тетрасахарид.
7. Применение по любому из предшествующих пунктов, причем олигосахарид(ы) присутствует(ют) в общем количестве от 50 мг/л до 5000 мг/л, например от 50 мг/л до 2500 мг/л, от 60 мг/л до 2000 мг/л, от 80 мг/л до 1000 мг/л питательной композиции.
8. Применение по любому из предшествующих пунктов, причем указанная питательная смесь представляет собой детскую смесь, начальную детскую смесь, детскую смесь для прикармливаемых детей или смесь последующего уровня, детское питание, детскую композицию на зерновой основе, обогатитель или добавку.
9. Способ улучшения развития языковых навыков у субъекта, включающий следующие стадии:
получение материнского молока, которым вскармливается младенец или ребенок младшего возраста, от матерей, секретирующих A-тетрасахарид в своем молоке, введение указанному младенцу или ребенку младшего возраста питательной композиции, содержащей по меньшей мере один олигос",A23L33/21,20251120,СОСЬЕТЕ ДЕ ПРОДЮИ НЕСТЛЕ С.А.,['Active']
CN119679814A,Vitamin-containing composition and use thereof,"The present invention relates to a composition comprising at least one vitamin for use in promoting, supporting or optimizing one or more of the following: (i) de novo myelination; (ii) brain structure; (iii) brain connection; (iv) intellectual potential; (v) cognitive potential; (vi) learning potential; and (vii) cognitive function, wherein the composition is for administration to the female subject.","<div class=""indep-clm"" num=""1"">1.一种组合物，所述组合物包含至少一种维生素，用于促进、支持或优化雌性个体的后代的以下各项中的一个或多个：</div>
<div class=""indep-clm"" num=""1"">(i)从头髓鞘形成；</div>
<div class=""indep-clm"" num=""1"">(ii)脑结构；</div>
<div class=""indep-clm"" num=""1"">(iii)脑连接；</div>
<div class=""indep-clm"" num=""1"">(iv)智力潜能；</div>
<div class=""indep-clm"" num=""1"">(v)认知潜能；</div>
<div class=""indep-clm"" num=""1"">(vi)学习潜能；以及</div>
<div class=""indep-clm"" num=""1"">(vii)认知功能，</div>
<div class=""indep-clm"" num=""1"">其中所述组合物用于施用于所述雌性个体，并且其中所述后代为胎儿、新生儿、婴儿或儿童，并且其中所述组合物用于在孕前、怀孕期间或泌乳期间或它们的组合施用于所述雌性个体。</div>
<div class=""dep-clm"" num=""2"" parent=""1"">2.根据权利要求1所述的组合物，其中所述组合物促进、支持或优化整个脑的有髓鞘物质的量和/或空间分布。</div>
<div class=""dep-clm"" num=""3"" parent=""1,2"">3.根据任一前述权利要求所述的组合物，其中所述组合物促进、支持或优化所述从头髓鞘形成轨迹。</div>
<div class=""dep-clm"" num=""4"" parent=""1,2,3"">4.根据任一前述权利要求所述的组合物，其中所述雌性个体为人类。</div>
<div class=""dep-clm"" num=""5"" parent=""1,2,3,4"">5.根据任一前述权利要求所述的组合物，其中所述维生素为B12、叶酸或它们的组合。</div>
<div class=""dep-clm"" num=""6"" parent=""1,2,3,4,5"">6.根据任一前述权利要求所述的组合物，其中所述组合物还包含以下成分中的一种或多种：矿物质、脂肪酸衍生物、胆碱和磷脂或其代谢物或代谢前体。</div>
<div class=""dep-clm"" num=""7"" parent=""6"">7.根据权利要求7所述的组合物，其中所述磷脂选自磷脂酰胆碱、磷脂酰肌醇、磷脂酰丝氨酸、磷脂酰乙醇胺、鞘磷脂及它们的混合物，以及前述任一者的代谢前体和代谢物，以及它们的混合物。</div>
<div class=""dep-clm"" num=""8"" parent=""7"">8.根据权利要求7所述的组合物，其中所述组合物还包含胆碱。</div>
<div class=""dep-clm"" num=""9"" parent=""1,2,3,4,5,6,7,8"">9.根据任一前述权利要求所述的组合物，其中所述组合物为孕前(怀孕之前)补充剂和/或母体补充剂(怀孕和/或泌乳补充剂)的形式。</div>
<div class=""indep-clm"" num=""10"">10.至少一种维生素，用于促进、支持或优化雌性个体的后代的以下各项中的一个或多个：</div>
<div class=""indep-clm"" num=""10"">(i)从头髓鞘形成；</div>
<div class=""indep-clm"" num=""10"">(ii)脑结构；</div>
<div class=""indep-clm"" num=""10"">(iii)脑连接；</div>
<div class=""indep-clm"" num=""10"">(iv)智力潜能；</div>
<div class=""indep-clm"" num=""10"">(v)认知潜能；</div>
<div class=""indep-clm"" num=""10"">(vi)学习潜能；以及</div>
<div class=""indep-clm"" num=""10"">(vii)认知功能，</div>
<div class=""indep-clm"" num=""10"">其中所述维生素用于在孕前、怀孕期间或泌乳期间或它们的组合施用于所述雌性个体。</div>
<div class=""indep-clm"" num=""11"">11.一种促进、支持或优化雌性个体的后代的以下各项中的一个或多个的方法：</div>
<div class=""indep-clm"" num=""11"">(i)从头髓鞘形成；</div>
<div class=""indep-","A61K31/714, A61K31/519, A61P25/00, A61K31/14",20250325,雀巢产品有限公司,['Pending']
CN119233760A,Method for producing coffee composition,Methods for producing coffee compositions derived from medium and high yield extracts while also having improved taste and fragrance are disclosed. Coffee compositions produced by such methods are also disclosed.,"<div class=""indep-clm"" num=""1"">1.用于生产咖啡组合物的方法，所述方法包括通过正向渗透浓缩咖啡提取物以生产液体浓缩物，其中所述咖啡提取物包含基于所述咖啡提取物的干重大于或等于18重量％的量的一种或多种单糖。</div>
<div class=""dep-clm"" num=""2"" parent=""1"">2.根据权利要求1所述的方法，其中所述正向渗透在高于15℃的温度下进行。</div>
<div class=""dep-clm"" num=""3"" parent=""1,2"">3.根据权利要求1或权利要求2中任一项所述的方法，还包括干燥所述液体浓缩物以生产可溶性粉末。</div>
<div class=""dep-clm"" num=""4"" parent=""1,2,3"">4.根据权利要求1至3中任一项所述的方法，还包括在所述正向渗透之前通过反向渗透浓缩所述咖啡提取物。</div>
<div class=""dep-clm"" num=""5"" parent=""1,2,3,4"">5.根据权利要求1至4中任一项所述的方法，其中使用氯化镁、氯化钠、柠檬酸钾或它们的一些组合作为汲取溶液进行所述正向渗透。</div>
<div class=""dep-clm"" num=""6"" parent=""1,2,3,4,5"">6.根据权利要求1至5中任一项所述的方法，其中所述咖啡组合物包含糠醇、吡啶和一种或多种单糖，其中所述糠醇与所述吡啶的浓度比大于或等于30；并且所述单糖的浓度总和大于或等于18重量％。</div>
<div class=""dep-clm"" num=""7"" parent=""6"">7.根据权利要求6所述的方法，其中所述咖啡组合物还包含2-乙基-6-甲基吡嗪、2-乙基-5-甲基吡嗪、2-乙基-3-甲基吡嗪、2,3,5-三甲基吡嗪、2-乙基-3,6-二甲基吡嗪、2-乙基-3,5-二甲基吡嗪和2,3-二乙基-5-甲基吡嗪，其中2-乙基-6-甲基吡嗪、2-乙基-5-甲基吡嗪、2-乙基-3-甲基吡嗪、2,3,5-三甲基吡嗪、2-乙基-3,6-二甲基吡嗪、2-乙基-3,5-二甲基吡嗪和2,3-二乙基-5-甲基吡嗪的绝对含量的总和大于或等于50.0mg/kg所述咖啡组合物的可溶性咖啡固形物。</div>
<div class=""dep-clm"" num=""8"" parent=""6,7"">8.根据权利要求6或7中任一项所述的方法，其中所述咖啡组合物的所述糠醇的绝对含量大于或等于2,000mg/kg所述咖啡组合物的可溶性咖啡固形物。</div>
<div class=""dep-clm"" num=""9"" parent=""6,7,8"">9.根据权利要求6至8中任一项所述的方法，其中所述咖啡组合物还包含一种或多种2-乙酰基噻唑、2-乙酰基吡嗪和2-乙酰基吡啶，其中2-乙酰基噻唑、2-乙酰基吡嗪和2-乙酰基吡啶的绝对含量的总和大于或等于2.70mg/kg所述咖啡组合物的可溶性咖啡固形物。</div>
<div class=""dep-clm"" num=""10"" parent=""6,7,8,9"">10.根据权利要求6至9中任一项所述的方法，其中所述咖啡组合物还包含2,3-丁二酮，其中所述糠醇与所述2,3-丁二酮的浓度比大于或等于30。</div>
<div class=""dep-clm"" num=""11"" parent=""6,7,8,9,10"">11.根据权利要求6至10中任一项所述的方法，其中所述咖啡组合物包含半乳糖，所述半乳糖的量基于所述咖啡组合物的干重大于或等于8重量％。</div>
<div class=""dep-clm"" num=""12"" parent=""6,7,8,9,10,11"">12.根据权利要求6至11中任一项所述的方法，其中所述咖啡组合物包含甘露糖，所述甘露糖的量基于所述咖啡组合物的干重大于或等于8重量％。</div>
<div class=""dep-clm"" num=""13"" parent=""1,2,3,4,5"">13.根据权利要求1至5中任一项所述的方法，其中所述咖啡组合物包含大于或等于18重量％的量的一种或多种单糖；和绝对含量大于或等于50.0的一种或多种烷基吡嗪、绝对含量大于或等于2,000的糠醇、或大于或等于2.70的一种或多种N-杂环化合物。</div>
<div class=""dep-clm"" num=""14"" parent=""13"">14.根据权利要求13所述的方法，其中所述咖啡组合物包含吡啶，其中所述糠醇与所述吡啶的浓度比大于或等于30。</div>
<div class=""dep-clm"" num=""15"" parent=""13,14"">15.根据权利要求13或14中任一项所述的方法，其中所述咖啡组合物还包含2,3-","A23F5/24, A23F5/28, A23F5/36",20241231,雀巢产品有限公司,['Pending']
US20250241343A1,An instant porridge composition,"The present invention relates to an instant porridge composition comprising grain flake, lipid, flour and flavor, wherein the grain flake has a thickness between 0.3 to 1 mm.","<div class=""indep-clm"" num=""1""><seg-main>1. An instant porridge composition comprising </seg-main><seg-clauses>grain flake, lipid, flour and flavor, wherein the grain flake has a thickness between 0.3 to 1 mm.</seg-clauses></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-main>2. An instant porridge composition as claimed in claim 1, wherein </seg-main><seg-clauses>the weight of the grain flake is 15 to 70 wt % by weight of the total composition.</seg-clauses></div>
<div class=""dep-clm"" num=""3"" parent=""1""><seg-main>3. An instant porridge composition of claim 1, wherein </seg-main><seg-clauses>the grain flake has a length between 2.5 to 15 mm.</seg-clauses></div>
<div class=""dep-clm"" num=""4"" parent=""1""><seg-main>4. An instant porridge composition of claim 1, wherein </seg-main><seg-clauses>the grain flake is selected from the group consisting of wheat flake, barley flake, oat flake, maize flake, rye flake, Sorghum flake, millet flake and a combination thereof.</seg-clauses></div>
<div class=""dep-clm"" num=""5"" parent=""1""><seg-main>5. An instant porridge composition of claim 1, wherein </seg-main><seg-clauses>the grain flake is a combination of a millet flake and a barley flake.</seg-clauses></div>
<div class=""dep-clm"" num=""6"" parent=""1""><seg-main>6. An instant porridge composition of claim 1, wherein </seg-main><seg-clauses>the grain flake is a combination of 15 to 45 wt % millet flake (based on the total composition) and 8 to 30 wt % barley flake (based on the total composition).</seg-clauses></div>
<div class=""dep-clm"" num=""7"" parent=""1""><seg-main>7. An instant porridge composition as claimed in claim 1, wherein </seg-main><seg-clauses>the flour is selected from the group consisting of wheat flour, oat flour, corn flour, rice flour, barley flour, millet flour, pulse flour and combinations thereof.</seg-clauses></div>
<div class=""dep-clm"" num=""8"" parent=""1""><seg-main>8. An instant porridge composition as claimed in claim 1, wherein </seg-main><seg-clauses>the flour ",A23L7/143,20250731,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
US20250223550A1,Method for producing milk like products,"A method of producing a mammalian milk like product, for example a human milk like product comprising generating lactocytes derived from mammalian mammary epithelial cells, for example human mammary epithelial cells, and expressing the mammalian milk like product, for example the human milk like product from lactocytes.","<div class=""indep-clm"" num=""1""><seg-main>1. A method for producing a mammalian milk like product, comprising:</seg-main>
<seg-clauses>A) Culturing mammary epithelial cells in a culture medium to generate lactocyte mammary-like gland organoids; and</seg-clauses>
<seg-clauses>B) Secreting the mammalian milk like product from said lactocytes.</seg-clauses></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-main>2. The method of claim 1, wherein </seg-main><seg-clauses>the time duration of step A) is no longer than 14 days.</seg-clauses></div>
<div class=""dep-clm"" num=""3"" parent=""1""><seg-main>3. The method of claim 1, wherein </seg-main><seg-clauses>the lactocyte mammary-like gland organoids from step A) express one or more mammary gland positive cell markers.</seg-clauses></div>
<div class=""dep-clm"" num=""4"" parent=""1""><seg-main>4. The method of claim 1, wherein </seg-main><seg-clauses>the lactocyte mammary-like gland organoids from step A) have increased mRNA expression of one or more milk bioactive markers post-induction compared to pre-induction.</seg-clauses></div>
<div class=""dep-clm"" num=""5"" parent=""1""><seg-main>5. The method of claim 1, wherein </seg-main><seg-clauses>the lactocyte mammary-like gland organoids from step A) have increased mRNA expression of LTF post-induction compared to pre-induction.</seg-clauses></div>
<div class=""dep-clm"" num=""6"" parent=""1""><seg-main>6. The method of claim 1, wherein </seg-main><seg-clauses>the lactocyte mammary-like gland organoids from step A) have increased mRNA expression of MFGE8 post-induction compared to pre-induction.</seg-clauses></div>
<div class=""dep-clm"" num=""7"" parent=""1""><seg-main>7. The method of claim 1, wherein </seg-main><seg-clauses>the culture medium is a MammoCult medium, in an appropriate 3D culture system.</seg-clauses></div>
<div class=""dep-clm"" num=""8"" parent=""1""><seg-main>8. The method of claim 1, wherein </seg-main><seg-clauses><seg-main>step A) further comprises:</seg-main>
<seg-clauses>i) culturing","C12N5/071, A23C9/20, C12N5/00, C12P21/02",20250710,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
JP2025081671A,Compositions and methods using thymol and/or carvacrol for induction of autophagy,"To provide compositions and methods for administration that are capable of inducing autophagy in an individual in need thereof, and which can concomitantly promote protein synthesis and removal of damaged cellular materials.SOLUTION: Compositions and methods can use a combination of thymol and/or carvacrol, optionally with high protein for induction of autophagy in an individual in need thereof. Preferably, a formulation containing a combination of thymol and/or carvacrol, optionally with protein, is administered to the individual in an amount effective to induce autophagy, for example in muscle. The formulation can concomitantly promote protein synthesis and removal of damaged cellular materials.SELECTED DRAWING: None","<div class=""indep-clm"" num=""1"">【請求項1】</div>
<div class=""indep-clm"" num=""1""> 細胞機能不全、ゲノム損傷、ミトコンドリア機能の変化若しくはミトコンドリア密度の低下に関連する疾患又は状態の治療、予防又は管理を必要とする個体において、前記治療、予防又は管理に使用するための、チモール及び／又はカルバクロールを含む組成物。 </div>
<div class=""dep-clm"" num=""2"" parent=""1"">【請求項2】</div>
<div class=""dep-clm"" num=""2"" parent=""1""> 健康な中高年者において、抗酸化能力の増加、酸化ストレスの低減、免疫機能の維持、及び／又は認知機能の維持に使用するための、請求項１に記載の組成物。 </div>
<div class=""dep-clm"" num=""3"" parent=""1"">【請求項3】</div>
<div class=""dep-clm"" num=""3"" parent=""1""> 前記ミトコンドリア関連の疾患又は状態が、ストレス、肥満、代謝率の低下、メタボリックシンドローム、真性糖尿病、糖尿病合併症、高脂血症、遊離脂肪酸の上昇、肝疾患、ＮＡＦＬＤ、ＮＡＳＨ、神経変性疾患、脳卒中、認知障害、ストレス誘発性又はストレス関連性認知機能障害、気分障害、不安障害、加齢に伴う神経細胞死又は神経機能障害、筋骨格障害、フレイル、プレフレイル、慢性腎疾患、胃腸障害、外傷、感染、がん、黄斑変性、及びこれらの組み合わせからなる群から選択される、請求項１に記載の組成物。 </div>
<div class=""indep-clm"" num=""4"">【請求項4】</div>
<div class=""indep-clm"" num=""4""> オートファジーの誘導を必要とする個体においてオートファジーの誘導に使用するための、有効量のチモール及び／又はカルバクロールを含む組成物。 </div>
<div class=""dep-clm"" num=""5"" parent=""1,2,3,4"">【請求項5】</div>
<div class=""dep-clm"" num=""5"" parent=""1,2,3,4""> チモール及び／又はカルバクロールが高タンパク質と組み合わされている、請求項１～４のいずれか一項に記載の組成物。 </div>
<div class=""dep-clm"" num=""6"" parent=""5"">【請求項6】</div>
<div class=""dep-clm"" num=""6"" parent=""5""> 前記高い量のタンパク質が、前記組成物の少なくとも約２５エネルギー％である量のタンパク質である、請求項５に記載の組成物。 </div>
<div class=""dep-clm"" num=""7"" parent=""5,6"">【請求項7】</div>
<div class=""dep-clm"" num=""7"" parent=""5,6""> 前記高い量のタンパク質が、前記組成物の６ｇ／１００ｋｃａｌを超えるタンパク質／エネルギー比を提供する量の前記タンパク質である、請求項５又は６に記載の組成物。 </div>
<div class=""dep-clm"" num=""8"" parent=""5,6,7"">【請求項8】</div>
<div class=""dep-clm"" num=""8"" parent=""5,6,7""> 前記タンパク質の少なくとも一部が、（ｉ）動物源由来のタンパク質、（ｉｉ）植物源由来のタンパク質、及び（ｉｉｉ）これらの混合物からなる群から選択される、請求項５～７のいずれか一項に記載の組成物。 </div>
<div class=""dep-clm"" num=""9"" parent=""5,6,7,8"">【請求項9】</div>
<div class=""dep-clm"" num=""9"" parent=""5,6,7,8""> 前記タンパク質の少なくとも一部が、（ｉ）乳タンパク質、（ｉｉ）ホエイタンパク質、（ｉｉｉ）カゼイン塩、（ｉｖ）カゼインミセル、（ｖ）エンドウ豆タンパク質、（ｖｉ）大豆タンパク質、及び（ｖｉｉ）これらの混合物からなる群から選択される、請求項５～８のいずれか一項に記載の組成物。 </div>
<div class=""dep-clm"" num=""10"" parent=""5,6,7,8,9"">【請求項10】</div>
<div class=""dep-clm"" num=""10"" parent=""5,6,7,8,9""> 前記タンパク質が、（ｉ）前記タンパク質の少なくとも５０重量％がカゼインである配合、（ｉｉ）前記タン","A23L33/10, A61K31/05, A61P43/00, A61P3/04, A61P3/00",20250527,ソシエテ·デ·プロデュイ·ネスレ·エス·アー,['Pending']
US20250194644A1,Mimicking health benefits of physical exercise in cats,"A method of mimicking health benefits of physical exercise in a cat can include administering a high protein diet to a cat, the high protein diet including from about 110% to about 350% of a Recommended Daily Allowance (RDA) of protein for the cat on a daily basis. The high protein diet in this example is sufficient to increase a 12,13-diHOME blood level for an 18-24 hour period per day compared to a baseline blood level without the need for physical exercise.","<div class=""indep-clm"" num=""1""><seg-con>1. A method of mimicking health benefits of physical exercise in a cat, </seg-con><seg-trans>comprising </seg-trans><seg-refi>administering a high protein diet to a cat, the high protein diet including from about 110% to about 350% of a Recommended Daily Allowance (RDA) of protein for the cat on a daily basis, wherein the high protein diet is sufficient to increase a 12,13-diHOME blood level for an 18-24 hour period per day compared to a baseline blood level without the need for physical exercise.</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-con>2. The method of claim 1, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the high protein diet includes from about 150% to about 250% of the RDA of protein and the 12,13-diHOME blood level is increased by at least 2-fold over the 18-24 hour period compared to the baseline blood level.</seg-refi></div>
<div class=""dep-clm"" num=""3"" parent=""1""><seg-con>3. The method of claim 1, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the 12,13-diHOME blood level is higher over the 18-24 hour period compared to the baseline blood level without the cat engaging in physical exercise.</seg-refi></div>
<div class=""dep-clm"" num=""4"" parent=""1""><seg-con>4. The method of claim 1, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the RDA of protein for the cat is 26 wt % based on 100% of a MER for the cat, and wherein the high protein diet includes administering a cat food on a daily basis containing from about 30 wt % to about 75 wt % protein calculated based on the 100% of the MER for the cat.</seg-refi></div>
<div class=""dep-clm"" num=""5"" parent=""4""><seg-con>5. The method of claim 4, </seg-con><seg-trans>further comprising </seg-trans><seg-refi>administering a decreased caloric intake diet having from about 50% to about 95% of the MER for the cat, wherein the cat food still includes an equivalent of the about 40 wt % to about 75 wt % protein calculated based on the 100% of the MER","A23K20/147, A23K50/42",20250619,SOCIÉTÉ DES PRODUITS NESTLÉ S.A.,['Pending']
